annotation_id,case_id,fixture_id,system_label,baseline_id
C010-C,C010,synthetic_career_infeasible_03_02_r01,System C,raw_prompt_stuffing
C011-A,C011,synthetic_career_infeasible_03_02_r06,System A,validator_only
C011-B,C011,synthetic_career_infeasible_03_02_r06,System B,raw_prompt_stuffing
C011-C,C011,synthetic_career_infeasible_03_02_r06,System C,cbea_lcv_runtime
C012-A,C012,synthetic_career_infeasible_03_02_r12,System A,validator_only
C012-B,C012,synthetic_career_infeasible_03_02_r12,System B,cbea_lcv_runtime
C012-C,C012,synthetic_career_infeasible_03_02_r12,System C,raw_prompt_stuffing
C013-A,C013,synthetic_career_surface_03_05_r01,System A,raw_prompt_stuffing
C013-B,C013,synthetic_career_surface_03_05_r01,System B,validator_only
C013-C,C013,synthetic_career_surface_03_05_r01,System C,cbea_lcv_runtime
C014-A,C014,synthetic_career_surface_03_05_r06,System A,raw_prompt_stuffing
C014-B,C014,synthetic_career_surface_03_05_r06,System B,cbea_lcv_runtime
C014-C,C014,synthetic_career_surface_03_05_r06,System C,validator_only
C015-A,C015,synthetic_career_surface_03_05_r12,System A,cbea_lcv_runtime
C015-B,C015,synthetic_career_surface_03_05_r12,System B,raw_prompt_stuffing
C015-C,C015,synthetic_career_surface_03_05_r12,System C,validator_only
C016-A,C016,synthetic_career_tail_03_01_r01,System A,cbea_lcv_runtime
C016-B,C016,synthetic_career_tail_03_01_r01,System B,validator_only
C016-C,C016,synthetic_career_tail_03_01_r01,System C,raw_prompt_stuffing
C017-A,C017,synthetic_career_tail_03_01_r06,System A,validator_only
C017-B,C017,synthetic_career_tail_03_01_r06,System B,raw_prompt_stuffing
C017-C,C017,synthetic_career_tail_03_01_r06,System C,cbea_lcv_runtime
C018-A,C018,synthetic_career_tail_03_01_r12,System A,validator_only
C018-B,C018,synthetic_career_tail_03_01_r12,System B,cbea_lcv_runtime
C018-C,C018,synthetic_career_tail_03_01_r12,System C,raw_prompt_stuffing
C019-A,C019,synthetic_comprehensive_debt_05_06_r01,System A,raw_prompt_stuffing
C019-B,C019,synthetic_comprehensive_debt_05_06_r01,System B,validator_only
C019-C,C019,synthetic_comprehensive_debt_05_06_r01,System C,cbea_lcv_runtime
C020-A,C020,synthetic_comprehensive_debt_05_06_r06,System A,raw_prompt_stuffing
C020-B,C020,synthetic_comprehensive_debt_05_06_r06,System B,cbea_lcv_runtime
C020-C,C020,synthetic_comprehensive_debt_05_06_r06,System C,validator_only
C021-A,C021,synthetic_comprehensive_debt_05_06_r12,System A,cbea_lcv_runtime
C021-B,C021,synthetic_comprehensive_debt_05_06_r12,System B,raw_prompt_stuffing
C021-C,C021,synthetic_comprehensive_debt_05_06_r12,System C,validator_only
C022-A,C022,synthetic_comprehensive_falsehard_05_03_r01,System A,cbea_lcv_runtime
C022-B,C022,synthetic_comprehensive_falsehard_05_03_r01,System B,validator_only
C022-C,C022,synthetic_comprehensive_falsehard_05_03_r01,System C,raw_prompt_stuffing
C023-A,C023,synthetic_comprehensive_falsehard_05_03_r06,System A,validator_only
C023-B,C023,synthetic_comprehensive_falsehard_05_03_r06,System B,raw_prompt_stuffing
C023-C,C023,synthetic_comprehensive_falsehard_05_03_r06,System C,cbea_lcv_runtime
C024-A,C024,synthetic_comprehensive_falsehard_05_03_r12,System A,validator_only
C024-B,C024,synthetic_comprehensive_falsehard_05_03_r12,System B,cbea_lcv_runtime
C024-C,C024,synthetic_comprehensive_falsehard_05_03_r12,System C,raw_prompt_stuffing
C025-A,C025,synthetic_comprehensive_exception_05_04_r01,System A,raw_prompt_stuffing
C025-B,C025,synthetic_comprehensive_exception_05_04_r01,System B,validator_only
C025-C,C025,synthetic_comprehensive_exception_05_04_r01,System C,cbea_lcv_runtime
C026-A,C026,synthetic_comprehensive_exception_05_04_r06,System A,raw_prompt_stuffing
C026-B,C026,synthetic_comprehensive_exception_05_04_r06,System B,cbea_lcv_runtime
C026-C,C026,synthetic_comprehensive_exception_05_04_r06,System C,validator_only
C027-A,C027,synthetic_comprehensive_exception_05_04_r12,System A,cbea_lcv_runtime
C027-B,C027,synthetic_comprehensive_exception_05_04_r12,System B,raw_prompt_stuffing
C027-C,C027,synthetic_comprehensive_exception_05_04_r12,System C,validator_only
C028-A,C028,synthetic_comprehensive_infeasible_05_02_r01,System A,cbea_lcv_runtime
C028-B,C028,synthetic_comprehensive_infeasible_05_02_r01,System B,validator_only
C028-C,C028,synthetic_comprehensive_infeasible_05_02_r01,System C,raw_prompt_stuffing
C029-A,C029,synthetic_comprehensive_infeasible_05_02_r06,System A,validator_only
C029-B,C029,synthetic_comprehensive_infeasible_05_02_r06,System B,raw_prompt_stuffing
C029-C,C029,synthetic_comprehensive_infeasible_05_02_r06,System C,cbea_lcv_runtime
C030-A,C030,synthetic_comprehensive_infeasible_05_02_r12,System A,validator_only
C030-B,C030,synthetic_comprehensive_infeasible_05_02_r12,System B,cbea_lcv_runtime
C030-C,C030,synthetic_comprehensive_infeasible_05_02_r12,System C,raw_prompt_stuffing
C031-A,C031,synthetic_comprehensive_surface_05_05_r01,System A,raw_prompt_stuffing
C031-B,C031,synthetic_comprehensive_surface_05_05_r01,System B,validator_only
C031-C,C031,synthetic_comprehensive_surface_05_05_r01,System C,cbea_lcv_runtime
C032-A,C032,synthetic_comprehensive_surface_05_05_r06,System A,raw_prompt_stuffing
C032-B,C032,synthetic_comprehensive_surface_05_05_r06,System B,cbea_lcv_runtime
C032-C,C032,synthetic_comprehensive_surface_05_05_r06,System C,validator_only
C033-A,C033,synthetic_comprehensive_surface_05_05_r12,System A,cbea_lcv_runtime
C033-B,C033,synthetic_comprehensive_surface_05_05_r12,System B,raw_prompt_stuffing
C033-C,C033,synthetic_comprehensive_surface_05_05_r12,System C,validator_only
C034-A,C034,synthetic_comprehensive_tail_05_01_r01,System A,cbea_lcv_runtime
C034-B,C034,synthetic_comprehensive_tail_05_01_r01,System B,validator_only
C034-C,C034,synthetic_comprehensive_tail_05_01_r01,System C,raw_prompt_stuffing
C035-A,C035,synthetic_comprehensive_tail_05_01_r06,System A,validator_only
C035-B,C035,synthetic_comprehensive_tail_05_01_r06,System B,raw_prompt_stuffing
C035-C,C035,synthetic_comprehensive_tail_05_01_r06,System C,cbea_lcv_runtime
C036-A,C036,synthetic_comprehensive_tail_05_01_r12,System A,validator_only
C036-B,C036,synthetic_comprehensive_tail_05_01_r12,System B,cbea_lcv_runtime
C036-C,C036,synthetic_comprehensive_tail_05_01_r12,System C,raw_prompt_stuffing
C037-A,C037,synthetic_investment_debt_01_06_r01,System A,raw_prompt_stuffing
C037-B,C037,synthetic_investment_debt_01_06_r01,System B,validator_only
C037-C,C037,synthetic_investment_debt_01_06_r01,System C,cbea_lcv_runtime
C038-A,C038,synthetic_investment_debt_01_06_r06,System A,raw_prompt_stuffing
C038-B,C038,synthetic_investment_debt_01_06_r06,System B,cbea_lcv_runtime
C038-C,C038,synthetic_investment_debt_01_06_r06,System C,validator_only
C039-A,C039,synthetic_investment_debt_01_06_r12,System A,cbea_lcv_runtime
C039-B,C039,synthetic_investment_debt_01_06_r12,System B,raw_prompt_stuffing
C039-C,C039,synthetic_investment_debt_01_06_r12,System C,validator_only
C040-A,C040,synthetic_investment_falsehard_01_03_r01,System A,cbea_lcv_runtime
C040-B,C040,synthetic_investment_falsehard_01_03_r01,System B,validator_only
C040-C,C040,synthetic_investment_falsehard_01_03_r01,System C,raw_prompt_stuffing
C041-A,C041,synthetic_investment_falsehard_01_03_r06,System A,validator_only
C041-B,C041,synthetic_investment_falsehard_01_03_r06,System B,raw_prompt_stuffing
C041-C,C041,synthetic_investment_falsehard_01_03_r06,System C,cbea_lcv_runtime
C042-A,C042,synthetic_investment_falsehard_01_03_r12,System A,validator_only
C042-B,C042,synthetic_investment_falsehard_01_03_r12,System B,cbea_lcv_runtime
C042-C,C042,synthetic_investment_falsehard_01_03_r12,System C,raw_prompt_stuffing
C043-A,C043,synthetic_investment_exception_01_04_r01,System A,raw_prompt_stuffing
C043-B,C043,synthetic_investment_exception_01_04_r01,System B,validator_only
C043-C,C043,synthetic_investment_exception_01_04_r01,System C,cbea_lcv_runtime
C044-A,C044,synthetic_investment_exception_01_04_r06,System A,raw_prompt_stuffing
C044-B,C044,synthetic_investment_exception_01_04_r06,System B,cbea_lcv_runtime
C044-C,C044,synthetic_investment_exception_01_04_r06,System C,validator_only
C045-A,C045,synthetic_investment_exception_01_04_r12,System A,cbea_lcv_runtime
C045-B,C045,synthetic_investment_exception_01_04_r12,System B,raw_prompt_stuffing
C045-C,C045,synthetic_investment_exception_01_04_r12,System C,validator_only
C046-A,C046,synthetic_investment_infeasible_01_02_r01,System A,cbea_lcv_runtime
C046-B,C046,synthetic_investment_infeasible_01_02_r01,System B,validator_only
C046-C,C046,synthetic_investment_infeasible_01_02_r01,System C,raw_prompt_stuffing
C047-A,C047,synthetic_investment_infeasible_01_02_r06,System A,validator_only
C047-B,C047,synthetic_investment_infeasible_01_02_r06,System B,raw_prompt_stuffing
C047-C,C047,synthetic_investment_infeasible_01_02_r06,System C,cbea_lcv_runtime
C048-A,C048,synthetic_investment_infeasible_01_02_r12,System A,validator_only
C048-B,C048,synthetic_investment_infeasible_01_02_r12,System B,cbea_lcv_runtime
C048-C,C048,synthetic_investment_infeasible_01_02_r12,System C,raw_prompt_stuffing
C049-A,C049,synthetic_investment_surface_01_05_r01,System A,raw_prompt_stuffing
C049-B,C049,synthetic_investment_surface_01_05_r01,System B,validator_only
C049-C,C049,synthetic_investment_surface_01_05_r01,System C,cbea_lcv_runtime
C050-A,C050,synthetic_investment_surface_01_05_r06,System A,raw_prompt_stuffing
C050-B,C050,synthetic_investment_surface_01_05_r06,System B,cbea_lcv_runtime
C050-C,C050,synthetic_investment_surface_01_05_r06,System C,validator_only
C051-A,C051,synthetic_investment_surface_01_05_r12,System A,cbea_lcv_runtime
C051-B,C051,synthetic_investment_surface_01_05_r12,System B,raw_prompt_stuffing
C051-C,C051,synthetic_investment_surface_01_05_r12,System C,validator_only
C052-A,C052,synthetic_investment_tail_01_01_r01,System A,cbea_lcv_runtime
C052-B,C052,synthetic_investment_tail_01_01_r01,System B,validator_only
C052-C,C052,synthetic_investment_tail_01_01_r01,System C,raw_prompt_stuffing
C053-A,C053,synthetic_investment_tail_01_01_r06,System A,validator_only
C053-B,C053,synthetic_investment_tail_01_01_r06,System B,raw_prompt_stuffing
C053-C,C053,synthetic_investment_tail_01_01_r06,System C,cbea_lcv_runtime
C054-A,C054,synthetic_investment_tail_01_01_r12,System A,validator_only
C054-B,C054,synthetic_investment_tail_01_01_r12,System B,cbea_lcv_runtime
C054-C,C054,synthetic_investment_tail_01_01_r12,System C,raw_prompt_stuffing
C055-A,C055,synthetic_love_choice_debt_02_06_r01,System A,raw_prompt_stuffing
C055-B,C055,synthetic_love_choice_debt_02_06_r01,System B,validator_only
C055-C,C055,synthetic_love_choice_debt_02_06_r01,System C,cbea_lcv_runtime
C056-A,C056,synthetic_love_choice_debt_02_06_r06,System A,raw_prompt_stuffing
C056-B,C056,synthetic_love_choice_debt_02_06_r06,System B,cbea_lcv_runtime
C056-C,C056,synthetic_love_choice_debt_02_06_r06,System C,validator_only
C057-A,C057,synthetic_love_choice_debt_02_06_r12,System A,cbea_lcv_runtime
C057-B,C057,synthetic_love_choice_debt_02_06_r12,System B,raw_prompt_stuffing
C057-C,C057,synthetic_love_choice_debt_02_06_r12,System C,validator_only
C058-A,C058,synthetic_love_choice_falsehard_02_03_r01,System A,cbea_lcv_runtime
C058-B,C058,synthetic_love_choice_falsehard_02_03_r01,System B,validator_only
C058-C,C058,synthetic_love_choice_falsehard_02_03_r01,System C,raw_prompt_stuffing
C059-A,C059,synthetic_love_choice_falsehard_02_03_r06,System A,validator_only
C059-B,C059,synthetic_love_choice_falsehard_02_03_r06,System B,raw_prompt_stuffing
C059-C,C059,synthetic_love_choice_falsehard_02_03_r06,System C,cbea_lcv_runtime
C060-A,C060,synthetic_love_choice_falsehard_02_03_r12,System A,validator_only
C060-B,C060,synthetic_love_choice_falsehard_02_03_r12,System B,cbea_lcv_runtime
C060-C,C060,synthetic_love_choice_falsehard_02_03_r12,System C,raw_prompt_stuffing
C061-A,C061,synthetic_love_choice_exception_02_04_r01,System A,raw_prompt_stuffing
C061-B,C061,synthetic_love_choice_exception_02_04_r01,System B,validator_only
C061-C,C061,synthetic_love_choice_exception_02_04_r01,System C,cbea_lcv_runtime
C062-A,C062,synthetic_love_choice_exception_02_04_r06,System A,raw_prompt_stuffing
C062-B,C062,synthetic_love_choice_exception_02_04_r06,System B,cbea_lcv_runtime
C062-C,C062,synthetic_love_choice_exception_02_04_r06,System C,validator_only
C063-A,C063,synthetic_love_choice_exception_02_04_r12,System A,cbea_lcv_runtime
C063-B,C063,synthetic_love_choice_exception_02_04_r12,System B,raw_prompt_stuffing
C063-C,C063,synthetic_love_choice_exception_02_04_r12,System C,validator_only
C064-A,C064,synthetic_love_choice_infeasible_02_02_r01,System A,cbea_lcv_runtime
C064-B,C064,synthetic_love_choice_infeasible_02_02_r01,System B,validator_only
C064-C,C064,synthetic_love_choice_infeasible_02_02_r01,System C,raw_prompt_stuffing
C065-A,C065,synthetic_love_choice_infeasible_02_02_r06,System A,validator_only
C065-B,C065,synthetic_love_choice_infeasible_02_02_r06,System B,raw_prompt_stuffing
C065-C,C065,synthetic_love_choice_infeasible_02_02_r06,System C,cbea_lcv_runtime
C066-A,C066,synthetic_love_choice_infeasible_02_02_r12,System A,validator_only
C066-B,C066,synthetic_love_choice_infeasible_02_02_r12,System B,cbea_lcv_runtime
C066-C,C066,synthetic_love_choice_infeasible_02_02_r12,System C,raw_prompt_stuffing
C067-A,C067,synthetic_love_choice_surface_02_05_r01,System A,raw_prompt_stuffing
C067-B,C067,synthetic_love_choice_surface_02_05_r01,System B,validator_only
C067-C,C067,synthetic_love_choice_surface_02_05_r01,System C,cbea_lcv_runtime
C068-A,C068,synthetic_love_choice_surface_02_05_r06,System A,raw_prompt_stuffing
C068-B,C068,synthetic_love_choice_surface_02_05_r06,System B,cbea_lcv_runtime
C068-C,C068,synthetic_love_choice_surface_02_05_r06,System C,validator_only
C069-A,C069,synthetic_love_choice_surface_02_05_r12,System A,cbea_lcv_runtime
C069-B,C069,synthetic_love_choice_surface_02_05_r12,System B,raw_prompt_stuffing
C069-C,C069,synthetic_love_choice_surface_02_05_r12,System C,validator_only
C070-A,C070,synthetic_love_choice_tail_02_01_r01,System A,cbea_lcv_runtime
C070-B,C070,synthetic_love_choice_tail_02_01_r01,System B,validator_only
C070-C,C070,synthetic_love_choice_tail_02_01_r01,System C,raw_prompt_stuffing
C071-A,C071,synthetic_love_choice_tail_02_01_r06,System A,validator_only
C071-B,C071,synthetic_love_choice_tail_02_01_r06,System B,raw_prompt_stuffing
C071-C,C071,synthetic_love_choice_tail_02_01_r06,System C,cbea_lcv_runtime
C072-A,C072,synthetic_love_choice_tail_02_01_r12,System A,validator_only
C072-B,C072,synthetic_love_choice_tail_02_01_r12,System B,cbea_lcv_runtime
C072-C,C072,synthetic_love_choice_tail_02_01_r12,System C,raw_prompt_stuffing
C073-A,C073,synthetic_relocation_debt_04_06_r01,System A,raw_prompt_stuffing
C073-B,C073,synthetic_relocation_debt_04_06_r01,System B,validator_only
C073-C,C073,synthetic_relocation_debt_04_06_r01,System C,cbea_lcv_runtime
C074-A,C074,synthetic_relocation_debt_04_06_r06,System A,raw_prompt_stuffing
C074-B,C074,synthetic_relocation_debt_04_06_r06,System B,cbea_lcv_runtime
C074-C,C074,synthetic_relocation_debt_04_06_r06,System C,validator_only
C075-A,C075,synthetic_relocation_debt_04_06_r12,System A,cbea_lcv_runtime
C075-B,C075,synthetic_relocation_debt_04_06_r12,System B,raw_prompt_stuffing
C075-C,C075,synthetic_relocation_debt_04_06_r12,System C,validator_only
C076-A,C076,synthetic_relocation_falsehard_04_03_r01,System A,cbea_lcv_runtime
C076-B,C076,synthetic_relocation_falsehard_04_03_r01,System B,validator_only
C076-C,C076,synthetic_relocation_falsehard_04_03_r01,System C,raw_prompt_stuffing
C077-A,C077,synthetic_relocation_falsehard_04_03_r06,System A,validator_only
C077-B,C077,synthetic_relocation_falsehard_04_03_r06,System B,raw_prompt_stuffing
C077-C,C077,synthetic_relocation_falsehard_04_03_r06,System C,cbea_lcv_runtime
C078-A,C078,synthetic_relocation_falsehard_04_03_r12,System A,validator_only
C078-B,C078,synthetic_relocation_falsehard_04_03_r12,System B,cbea_lcv_runtime
C078-C,C078,synthetic_relocation_falsehard_04_03_r12,System C,raw_prompt_stuffing
C079-A,C079,synthetic_relocation_exception_04_04_r01,System A,raw_prompt_stuffing
C079-B,C079,synthetic_relocation_exception_04_04_r01,System B,validator_only
C079-C,C079,synthetic_relocation_exception_04_04_r01,System C,cbea_lcv_runtime
C080-A,C080,synthetic_relocation_exception_04_04_r06,System A,raw_prompt_stuffing
C080-B,C080,synthetic_relocation_exception_04_04_r06,System B,cbea_lcv_runtime
C080-C,C080,synthetic_relocation_exception_04_04_r06,System C,validator_only
C081-A,C081,synthetic_relocation_exception_04_04_r12,System A,cbea_lcv_runtime
C081-B,C081,synthetic_relocation_exception_04_04_r12,System B,raw_prompt_stuffing
C081-C,C081,synthetic_relocation_exception_04_04_r12,System C,validator_only
C082-A,C082,synthetic_relocation_infeasible_04_02_r01,System A,cbea_lcv_runtime
C082-B,C082,synthetic_relocation_infeasible_04_02_r01,System B,validator_only
C082-C,C082,synthetic_relocation_infeasible_04_02_r01,System C,raw_prompt_stuffing
C083-A,C083,synthetic_relocation_infeasible_04_02_r06,System A,validator_only
C083-B,C083,synthetic_relocation_infeasible_04_02_r06,System B,raw_prompt_stuffing
C083-C,C083,synthetic_relocation_infeasible_04_02_r06,System C,cbea_lcv_runtime
C084-A,C084,synthetic_relocation_infeasible_04_02_r12,System A,validator_only
C084-B,C084,synthetic_relocation_infeasible_04_02_r12,System B,cbea_lcv_runtime
C084-C,C084,synthetic_relocation_infeasible_04_02_r12,System C,raw_prompt_stuffing
C085-A,C085,synthetic_relocation_surface_04_05_r01,System A,raw_prompt_stuffing
C085-B,C085,synthetic_relocation_surface_04_05_r01,System B,validator_only
C085-C,C085,synthetic_relocation_surface_04_05_r01,System C,cbea_lcv_runtime
C086-A,C086,synthetic_relocation_surface_04_05_r06,System A,raw_prompt_stuffing
C086-B,C086,synthetic_relocation_surface_04_05_r06,System B,cbea_lcv_runtime
C086-C,C086,synthetic_relocation_surface_04_05_r06,System C,validator_only
C087-A,C087,synthetic_relocation_surface_04_05_r12,System A,cbea_lcv_runtime
C087-B,C087,synthetic_relocation_surface_04_05_r12,System B,raw_prompt_stuffing
C087-C,C087,synthetic_relocation_surface_04_05_r12,System C,validator_only
C088-A,C088,synthetic_relocation_tail_04_01_r01,System A,cbea_lcv_runtime
C088-B,C088,synthetic_relocation_tail_04_01_r01,System B,validator_only
C088-C,C088,synthetic_relocation_tail_04_01_r01,System C,raw_prompt_stuffing
C089-A,C089,synthetic_relocation_tail_04_01_r06,System A,validator_only
C089-B,C089,synthetic_relocation_tail_04_01_r06,System B,raw_prompt_stuffing
C089-C,C089,synthetic_relocation_tail_04_01_r06,System C,cbea_lcv_runtime
C090-A,C090,synthetic_relocation_tail_04_01_r12,System A,validator_only
C090-B,C090,synthetic_relocation_tail_04_01_r12,System B,cbea_lcv_runtime
C090-C,C090,synthetic_relocation_tail_04_01_r12,System C,raw_prompt_stuffing
