annotation_id,case_id,system_label,scenario_focus,stress_surfaces,case_brief,runtime_control_reference,output_text,output_source
C004-B,C004,System B,career,"[""false_hardening"",""over_personalization""]","Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.","Case setup: Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career falsehard detail; Deadline evidence; Income floor evidence; Career falsehard evidence; Caregiver schedule tail falsehard.
Consequence obligations: Career delay follow-up; Career falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C004-C,C004,System C,career,"[""false_hardening"",""over_personalization""]","Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.","Case setup: Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career falsehard detail; Deadline evidence; Income floor evidence; Career falsehard evidence; Caregiver schedule tail falsehard.
Consequence obligations: Career delay follow-up; Career falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C005-A,C005,System A,career,"[""false_hardening"",""over_personalization""]","Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.","Case setup: Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career falsehard detail; Deadline evidence; Income floor evidence; Career falsehard evidence; Caregiver schedule tail falsehard.
Consequence obligations: Career delay follow-up; Career falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C005-B,C005,System B,career,"[""false_hardening"",""over_personalization""]","Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.","Case setup: Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career falsehard detail; Deadline evidence; Income floor evidence; Career falsehard evidence; Caregiver schedule tail falsehard.
Consequence obligations: Career delay follow-up; Career falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C005-C,C005,System C,career,"[""false_hardening"",""over_personalization""]","Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.","Case setup: Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career falsehard detail; Deadline evidence; Income floor evidence; Career falsehard evidence; Caregiver schedule tail falsehard.
Consequence obligations: Career delay follow-up; Career falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C006-A,C006,System A,career,"[""false_hardening"",""over_personalization""]","Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.","Case setup: Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career falsehard detail; Deadline evidence; Income floor evidence; Career falsehard evidence; Caregiver schedule tail falsehard.
Consequence obligations: Career delay follow-up; Career falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C006-B,C006,System B,career,"[""false_hardening"",""over_personalization""]","Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.","Case setup: Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career falsehard detail; Deadline evidence; Income floor evidence; Career falsehard evidence; Caregiver schedule tail falsehard.
Consequence obligations: Career delay follow-up; Career falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C006-C,C006,System C,career,"[""false_hardening"",""over_personalization""]","Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.","Case setup: Composite synthetic career transition fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail falsehard.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career falsehard detail; Deadline evidence; Income floor evidence; Career falsehard evidence; Caregiver schedule tail falsehard.
Consequence obligations: Career delay follow-up; Career falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C007-A,C007,System A,career,"[""hidden_exception"",""witness_drop""]","Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.","Case setup: Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold; Career exception scoped exception.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career exception detail; Deadline evidence; Income floor evidence; Career exception evidence; Caregiver schedule tail exception.
Consequence obligations: Career delay follow-up; Career exception follow-up.
Runtime-control stress: preserve scoped exceptions rather than flattening them into a generic rule; retain low-frequency evidence that materially changes the commitment.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C007-B,C007,System B,career,"[""hidden_exception"",""witness_drop""]","Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.","Case setup: Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold; Career exception scoped exception.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career exception detail; Deadline evidence; Income floor evidence; Career exception evidence; Caregiver schedule tail exception.
Consequence obligations: Career delay follow-up; Career exception follow-up.
Runtime-control stress: preserve scoped exceptions rather than flattening them into a generic rule; retain low-frequency evidence that materially changes the commitment.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C007-C,C007,System C,career,"[""hidden_exception"",""witness_drop""]","Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.","Case setup: Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold; Career exception scoped exception.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career exception detail; Deadline evidence; Income floor evidence; Career exception evidence; Caregiver schedule tail exception.
Consequence obligations: Career delay follow-up; Career exception follow-up.
Runtime-control stress: preserve scoped exceptions rather than flattening them into a generic rule; retain low-frequency evidence that materially changes the commitment.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C008-A,C008,System A,career,"[""hidden_exception"",""witness_drop""]","Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.","Case setup: Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold; Career exception scoped exception.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career exception detail; Deadline evidence; Income floor evidence; Career exception evidence; Caregiver schedule tail exception.
Consequence obligations: Career delay follow-up; Career exception follow-up.
Runtime-control stress: preserve scoped exceptions rather than flattening them into a generic rule; retain low-frequency evidence that materially changes the commitment.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C008-B,C008,System B,career,"[""hidden_exception"",""witness_drop""]","Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.","Case setup: Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold; Career exception scoped exception.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career exception detail; Deadline evidence; Income floor evidence; Career exception evidence; Caregiver schedule tail exception.
Consequence obligations: Career delay follow-up; Career exception follow-up.
Runtime-control stress: preserve scoped exceptions rather than flattening them into a generic rule; retain low-frequency evidence that materially changes the commitment.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C008-C,C008,System C,career,"[""hidden_exception"",""witness_drop""]","Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.","Case setup: Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold; Career exception scoped exception.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career exception detail; Deadline evidence; Income floor evidence; Career exception evidence; Caregiver schedule tail exception.
Consequence obligations: Career delay follow-up; Career exception follow-up.
Runtime-control stress: preserve scoped exceptions rather than flattening them into a generic rule; retain low-frequency evidence that materially changes the commitment.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C009-A,C009,System A,career,"[""hidden_exception"",""witness_drop""]","Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.","Case setup: Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold; Career exception scoped exception.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career exception detail; Deadline evidence; Income floor evidence; Career exception evidence; Caregiver schedule tail exception.
Consequence obligations: Career delay follow-up; Career exception follow-up.
Runtime-control stress: preserve scoped exceptions rather than flattening them into a generic rule; retain low-frequency evidence that materially changes the commitment.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C009-B,C009,System B,career,"[""hidden_exception"",""witness_drop""]","Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.","Case setup: Composite synthetic career transition fixture. A confirmed predicate has a scoped exception that is easy to lose when compressing evidence. No raw production history is used; this fixture preserves only an abstract hidden exception stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail exception.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold; Career exception scoped exception.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career exception detail; Deadline evidence; Income floor evidence; Career exception evidence; Caregiver schedule tail exception.
Consequence obligations: Career delay follow-up; Career exception follow-up.
Runtime-control stress: preserve scoped exceptions rather than flattening them into a generic rule; retain low-frequency evidence that materially changes the commitment.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
