annotation_id,case_id,fixture_id,system_label,baseline_id
C021-A,C021,synthetic_love_choice_exception_02_04_r01,System A,cbea_lcv_runtime
C021-B,C021,synthetic_love_choice_exception_02_04_r01,System B,raw_prompt_stuffing
C021-C,C021,synthetic_love_choice_exception_02_04_r01,System C,validator_only
C022-A,C022,synthetic_love_choice_infeasible_02_02_r01,System A,validator_only
C022-B,C022,synthetic_love_choice_infeasible_02_02_r01,System B,raw_prompt_stuffing
C022-C,C022,synthetic_love_choice_infeasible_02_02_r01,System C,cbea_lcv_runtime
C023-A,C023,synthetic_love_choice_surface_02_05_r01,System A,raw_prompt_stuffing
C023-B,C023,synthetic_love_choice_surface_02_05_r01,System B,validator_only
C023-C,C023,synthetic_love_choice_surface_02_05_r01,System C,cbea_lcv_runtime
C024-A,C024,synthetic_love_choice_tail_02_01_r02,System A,cbea_lcv_runtime
C024-B,C024,synthetic_love_choice_tail_02_01_r02,System B,validator_only
C024-C,C024,synthetic_love_choice_tail_02_01_r02,System C,raw_prompt_stuffing
C025-A,C025,synthetic_relocation_debt_04_06_r01,System A,cbea_lcv_runtime
C025-B,C025,synthetic_relocation_debt_04_06_r01,System B,raw_prompt_stuffing
C025-C,C025,synthetic_relocation_debt_04_06_r01,System C,validator_only
C026-A,C026,synthetic_relocation_falsehard_04_03_r02,System A,validator_only
C026-B,C026,synthetic_relocation_falsehard_04_03_r02,System B,raw_prompt_stuffing
C026-C,C026,synthetic_relocation_falsehard_04_03_r02,System C,cbea_lcv_runtime
C027-A,C027,synthetic_relocation_exception_04_04_r01,System A,raw_prompt_stuffing
C027-B,C027,synthetic_relocation_exception_04_04_r01,System B,validator_only
C027-C,C027,synthetic_relocation_exception_04_04_r01,System C,cbea_lcv_runtime
C028-A,C028,synthetic_relocation_infeasible_04_02_r01,System A,cbea_lcv_runtime
C028-B,C028,synthetic_relocation_infeasible_04_02_r01,System B,validator_only
C028-C,C028,synthetic_relocation_infeasible_04_02_r01,System C,raw_prompt_stuffing
C029-A,C029,synthetic_relocation_surface_04_05_r01,System A,cbea_lcv_runtime
C029-B,C029,synthetic_relocation_surface_04_05_r01,System B,raw_prompt_stuffing
C029-C,C029,synthetic_relocation_surface_04_05_r01,System C,validator_only
C030-A,C030,synthetic_relocation_tail_04_01_r01,System A,raw_prompt_stuffing
C030-B,C030,synthetic_relocation_tail_04_01_r01,System B,validator_only
C030-C,C030,synthetic_relocation_tail_04_01_r01,System C,cbea_lcv_runtime
